Image Filename,Center RGB R,Center RGB G,Center RGB B,Mean RGB R,Mean RGB G,Mean RGB B,StdDev RGB R,StdDev RGB G,StdDev RGB B,Mode
20230930.png,83,94,60,81.24,90.8,57.68,3.733952329636789,3.487119154832539,3.4608669434117227,0
20230930.png,81,94,51,79.6,93.0,50.0,1.8547236990991407,1.8110770276274832,1.8110770276274832,0
20230930.png,94,86,63,90.44,86.2,61.76,6.274264897181181,2.8844410203711908,1.3047605144240073,0
20230926.png,129,123,107,132.12,128.04,110.28,8.286470901415152,8.4875438143199,8.340359704473181,0
20230926.png,174,187,178,174.12,188.72,179.32,2.4709512338368795,2.9328484447717367,2.693993318477237,0
20230926.png,170,172,159,162.92,165.32,153.92,7.2383423516714105,6.9840962192684595,6.254086663934231,0
20230926.png,107,97,70,104.44,94.24,67.44,3.4765500140225227,2.121885953579975,2.593530412391573,0
20230926.png,89,92,61,91.8,93.76,61.36,5.440588203494178,2.232129028528593,3.083893642783422,0
20230926.png,114,100,74,115.4,101.0,75.4,2.3151673805580457,1.7204650534085253,1.8547236990991407,0
20230926.png,164,204,195,163.16,200.36,192.16,1.2862348152650815,4.136471926654402,3.208488740824876,0
20230926.png,169,212,202,165.84,203.64,195.24,5.8765976551062264,5.663073370529467,5.148048173822772,0
20230913.png,96,98,59,93.36,95.96,56.76,3.5986664196615945,4.321851455105786,3.776559280615094,0
20230913.png,97,102,62,98.52,102.08,62.48,5.337564987894761,3.958989770130759,3.8065207210785026,0
20230913.png,111,104,76,108.4,100.84,72.96,5.4258639865002145,3.5964426868782433,4.004797123450825,0
20230913.png,109,97,71,108.96,97.12,71.4,4.064283454681772,3.2535519052260407,3.1622776601683786,0
20230913.png,102,97,65,102.24,97.84,65.4,1.8391302292116234,1.9324595726689857,1.1661903789690597,0
20230913.png,91,92,58,84.64,88.56,51.6,5.925402939885186,3.0342050029620617,5.0517323761260355,0
20230913.png,101,118,66,95.48,115.36,61.92,4.00119982005398,3.7510531854400573,2.7845286854331386,0
20230828.png,87,108,51,88.96,110.76,53.16,3.9747201159326937,4.081960313378855,3.551675660867698,0
20230828.png,78,100,51,81.56,102.76,50.88,3.383252872606481,3.326018640957985,3.7769829229161203,0
20230828.png,100,107,63,102.52,102.64,61.0,3.5566276161555064,2.463818175109519,2.039607805437114,0
20230828.png,115,98,80,115.2,97.36,77.12,8.138795979750322,3.9077359173823405,5.515940536300224,0
20230828.png,100,96,69,105.28,100.12,73.08,7.794972738887546,5.361492329566463,5.447347978603901,0
20230828.png,94,108,59,92.08,102.12,56.0,5.351037282621006,3.7875585804050615,2.7422618401604177,0
20230828.png,118,102,76,118.68,102.76,76.6,2.781654184114193,6.192124029765554,3.286335345030996,0
20230812.png,106,113,72,107.08,112.68,72.28,2.1150886506243656,1.9332873557751311,1.7325126262166175,0
20230812.png,83,106,60,88.68,106.96,62.48,5.342059527934895,1.7083325203250095,2.49991999871996,0
20230812.png,108,101,73,111.36,102.16,74.96,5.505488170907281,2.693399339125188,3.340419135378074,0
20230812.png,106,112,84,109.6,112.16,85.52,7.6733304373003515,1.9324595726689857,4.792661056240052,0
20230812.png,113,116,71,113.64,117.44,72.24,1.6704490414256872,3.112298186228306,2.5024787711387284,0
